rész típus,Bp. I. kerület,Bp. II. kerület,Bp. III. kerület,Bp. IV. kerület,Bp. V. kerület,Bp. VI. kerület,Bp. VII. kerület,Bp. VIII. kerület,Bp. IX. kerület,Bp. X. kerület,Bp. XI. kerület,Bp. XII. kerület,Bp. XIII. kerület,Bp. XIV. kerület,Bp. XV. kerület,Bp. XVI. kerület,Bp. XVII. kerület,Bp. XVIII. kerület,Bp. XIX. kerület,Bp. XX. kerület,Bp. XXI. kerület,Bp. XXII. kerület,Bp. XXIII. kerület,Pécs
kerület1,I. kerület,II. kerület,III. kerület,IV. kerület,V. kerület,VI. kerület,VII. kerület,VIII. kerület,IX. kerület,X. kerület,XI. kerület,XII. kerület,XIII. kerület,XIV. kerület,XV. kerület,XVI. kerület,XVII. kerület,XVIII. kerület,XIX. kerület,XX. kerület,XXI. kerület,XXII. kerület,XXIII. kerület,
kerület2,1. kerület,2. kerület,3. kerület,4. kerület,5. kerület,6. kerület,7. kerület,8. kerület,9. kerület,10. kerület,11. kerület,12. kerület,13. kerület,14. kerület,15. kerület,16. kerület,17. kerület,18. kerület,19. kerület,20. kerület,21. kerület,22. kerület,23. kerület,
alias1,Budavár,,Óbuda,Újpest,Lipótváros,Terézváros,Erzsébetváros,Józsefváros,Ferencváros,Kőbánya,Újbuda,Hegyvidék,Angyalföld,Zugló,,,Rákosmente,Pestszentlőrinc,Kispest ,Pesterzsébet,Csepel,Budafok,Soroksár,
alias2,,,Békásmegyer,,Belváros,,,,,,,,,,,,,Pestszentimre,,,,Tétény,,
városrész1,Vár,Adyliget,Aranyhegy,Istvántelek,,,,Corvinnegyed,József Attila-lakótelep,Felsőrákos,Albertfalva,Csillebérc,Vizafogó,Alsórákos,Rákospalota,Árpádföld,Akadémiaújtelep,Almáskert,Wekerletelep,Erzsébetfalva,,Baross Gábor-telep,Soroksár-Újtelep,Tettye
városrész2,Gellérthegy,Budakeszierdő,Aquincum,Káposztásmegyer,,,,Csarnoknegyed,,Gyárdűlő,Dobogó,Farkasrét,Göncz Árpád városközpont,Herminamező,Pestújhely,Cinkota,Madárdomb,Bélatelep,,Gubacs,,Budafok,Millenniumtelep,Uránváros
városrész3,Krisztinaváros,Budaliget,Békásmegyer,Megyer,,,,Ganznegyed,,Keresztúridűlő,Gazdagrét,Farkasvölgy,Újlipótváros,Istvánmező,Újpalota,Mátyásföld,Rákoscsaba,Belsőmajor,,Gubacsipuszta,,Budatétény,,Zsolnay-negyed
városrész4,Tabán,Csatárka,Csillaghegy,Népsziget,,,,Losoncinegyed,,Kúttó,Hosszúrét,Istenhegy,Népsziget,Kiszugló,,Sashalom,Rákoshegy,Bókaytelep,,Kossuthfalva,,Nagytétény,,
városrész5,Víziváros ,Erzsébetliget,Csúcshegy,Székesdűlő,,,,Kerepesdűlő,,Laposdűlő,Infopark,Jánoshegy,,Nagyzugló,,Rákosszentmihály,Rákoskeresztúr,Erdőskert,,Pacsirtatelep,,,,
városrész6,,Erzsébettelek,Harsánylejtő,,,,,Magdolnanegyed,,Ligettelek,Kamaraerdő,Kissvábhegy,,Rákosfalva,,,Rákoskert,Erzsébettelep,,Szabótelep,,,,
városrész7,,Felhévíz,Hármashatárhegy,,,,,Népszínháznegyed,,Népliget,Kelenföld,Kútvölgy,,Törökőr,,,Rákosliget,Ferihegy,,,,,,
városrész8,,Gercse,Kaszásdűlő,,,,,Orczynegyed,,Óhegy,Kelenvölgy,Magasút,,Városliget,,,Régiakadémiatelep,Ganzkertváros,,,,,,
városrész9,,Hársakalja,Mocsárosdűlő,,,,,Palotanegyed,,Téglagyárdűlő,Kőérberek,Mártonhegy,,,,,,Ganztelep,,,,,,
városrész10,,Hárshegy,Óbuda,,,,,Századosnegyed,,Újhegy,Lágymányos,Németvölgy,,,,,,Gloriett-telep,,,,,,
városrész11,,Hűvösvölgy,Óbuda hegyvidéke,,,,,Tisztviselőtelep,,,,Orbánhegy,,,,,,Halmierdő,,,,,,
városrész12,,Kővár,Óbudaisziget,,,,,,,,,Sashegy,,,,,,Havanna-lakótelep,,,,,,
városrész13,,Kurucles,Rómaifürdő,,,,,,,,,Svábhegy,,,,,,Kossuth Ferenc-telep,,,,,,
városrész14,,Lipótmező,Solymárvölgy,,,,,,,,,Széchenyihegy,,,,,,Krepuska Géza-telep,,,,,,
városrész15,,Máriaremete,Péterhegy,,,,,,,,,Virányos,,,,,,Lakatos-lakótelep,,,,,,
városrész16,,Nyék,Ürömhegy,,,,,,,,,Zugliget,,,,,,Liptáktelep,,,,,,
városrész17,,Országút,,,,,,,,,,,,,,,,Lónyaytelep,,,,,,
városrész18,,Pálvölgy,,,,,,,,,,,,,,,,Miklóstelep,,,,,,
városrész19,,Pasarét,,,,,,,,,,,,,,,,Pestszentimre,,,,,,
városrész20,,Pesthidegkút-Ófalu,,,,,,,,,,,,,,,,Rendessytelep,,,,,,
városrész21,,Petneházyrét,,,,,,,,,,,,,,,,Szemeretelep,,,,,,
városrész22,,Remetekertváros,,,,,,,,,,,,,,,,Szent Imre-kertváros,,,,,,
városrész23,,Rézmál,,,,,,,,,,,,,,,,Szent Lőrinc-lakótelep,,,,,,
városrész24,,Rózsadomb,,,,,,,,,,,,,,,,Újpéteritelep,,,,,,
városrész25,,Szemlőhegy,,,,,,,,,,,,,,,,,,,,,,
városrész26,,Széphalom,,,,,,,,,,,,,,,,,,,,,,
városrész27,,Szépilona,,,,,,,,,,,,,,,,,,,,,,
városrész28,,Szépvölgy,,,,,,,,,,,,,,,,,,,,,,
városrész29,,Törökvész,,,,,,,,,,,,,,,,,,,,,,
városrész30,,,,,,,,,,,,,,,,,,,,,,,,
városrész31,,Vérhalom,,,,,,,,,,,,,,,,,,,,,,
városrész32,,Víziváros,,,,,,,,,,,,,,,,,,,,,,
városrész33,,Zöldmál,,,,,,,,,,,,,,,,,,,,,,
létesítmény1,,,,,,,,Nemzeti Múzeum,Nemzeti Színház,,,,,Bosnyák tér,,,,Liszt Ferenc repülőtér,,Jahn Ferenc Dél-pesti Kórház,,,,
létesítmény1,,,,,,,,,,,,,,,,,,Ferihegy,,,,,,
