id,detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
1,MDF,642,158,-484,,,,,,,
2,MSZP,4309,2304,-2005,,,,,,,
3,SZDSZ,1055,574,-481,,,,,,,
6,Arago Befektetési Holding Zrt.,3,33,30,,,,,,,
9,Hunguest Hotels Zrt.,58,123,65,,,,,,,
16,Környezetvédelmi Minisztérium,21,42,21,,,,,,,
20,Betonút Zrt.,28,78,50,,,,,,,
21,Montrade Ltd.,21,33,12,,,,,,,
23,Fidesz,7384,3051,-4333,,,,,,,
25,Prudent Invest Zrt.,0,4,4,,,,,,,
26,Rendőrség,13,861,848,Budapesti Rendőr-főkapitányság (BRFK),Nemzeti Nyomozó Iroda,Készenléti Rendőrség,Országos Rendőr-főkapitányság (ORFK),Baranya Megyei Rendőr-főkapitányság,Győr-Moson-Sopron Megyei Rendőr-főkapitányság,... Megyei Rendőr-főkapitányság
27,Esma Zrt.,3,52,49,ESMA Reklám Zrt.,,,,,,
28,Synergon Nyrt.,12,40,28,,,,,,,
31,Pentetron Rt.,0,1,1,,,,,,,
39,Strabag,297,225,-72,,,,,,,
42,Kőbeta Rt.,3,14,11,,,,,,,
43,Magyar Villamos Művek (MVM) Zrt.,27,552,525,Magyar Villamos Művek,Magyar Villamos Művek Zrt.,MVM,MVM Zrt.,,,zárójel
44,Aare-Tessin AG für Elektrizität (Atel AG),0,1,1,,,,,,,
46,Siemens Zrt.,17,54,37,,,,,,,
61,Autóker Holding Rt.,3,15,12,,,,,,,
62,Kulturális Örökségvédelmi Hivatal,82,19,-63,,,,,,,
63,ES-Invest Kft.,0,5,5,,,,,,,
68,Terézvárosi Vagyonkezelő Rt.,11,49,38,,,,,,,
69,Revital Ingatlanfejlesztési Zrt.,0,1,1,,,,,,,
72,Globex Holding,10,33,23,,,,,,,
77,Budapest Airport (BA) Zrt.,25,222,197,Budapest Airport Zrt.,BA Zrt.,Budapest Airport,,,,
78,Állami Privatizációs és Vagyonkezelő (ÁPV) Rt.,35,159,124,,,,,,,
80,Airterminal Development Corporation,0,2,2,,,,,,,
84,OTP Bank Nyrt.,21,137,116,,,,,,,
90,Mininvest Zrt.,0,1,1,,,,,,,
93,MOL Magyar Olaj- és Gázipari Nyrt.,*,,,MOL Nyrt.,Magyar Olaj- és Gázipari Nyrt.,,,,,zárójel
96,Altus Zrt.,60,129,69,,,,,,,
99,Nyír-Unica Kft.,0,12,12,,,,,,,
101,Balmoral Group Ltd.,3,15,12,,,,,,,
102,Állami Autópálya Kezelő (ÁAK) Zrt.,6,73,67,,,,,,,
105,MÁV,462,349,-113,,,,,,,
107,Mazsihisz,34,10,-24,,,,,,,
110,Természet- és Társadalombarát Fejlödésért Közalapítvány,0,3,3,,,,,,,
124,Motim Rt.,6,28,22,,,,,,,
126,Perfekt Rt.,28,10,-18,,,,,,,
128,Dolomit Kft.,56,71,15,,,,,,,
130,Gánt Kő Kft.,11,37,26,,,,,,,
135,Szárhegydűlő-Sárazsadány-Tokajhegyalja Kft.,2,57,55,,,,,,,
136,Tokaj Kereskedőház Zrt.,5,26,21,,,,,,,
137,Postabank,240,192,-48,,,,,,,
139,BAZ-megyei Területfejlesztési Tanács,0,1,1,,,,,,,
141,Patrícius Kft.,0,4,4,,,,,,,
144,Gazdasági Minisztérium,26,111,85,,,,,,,
