id,rész típus,kerület1,kerület2,alias1,alias2,városrész1,városrész2,városrész3,városrész4,városrész5,városrész6,városrész7,városrész8,városrész9,városrész10,városrész11,városrész12,városrész13,városrész14,városrész15,városrész16,városrész17,városrész18,városrész19,városrész20,városrész21,városrész22,városrész23,városrész24,városrész25,városrész26,városrész27,városrész28,városrész29,városrész30,városrész31,városrész32,városrész33,létesítmény1,létesítmény1
1,Aba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Abaliget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Abasár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abaújalpár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Abaújkér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Abaújlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Abaújszántó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Abaújszolnok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Abaújvár,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Abony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ábrahámhegy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ács,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Acsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Acsád,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Acsalag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ácsteszér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Adács,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ádánd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Adásztevel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Adony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Adorjánháza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Adorjás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Afganisztán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Afrika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ág,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Agárd (Gárdony),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ágasegyháza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ágfalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Aggtelek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Agyagosszergény,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ajak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ajka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Aka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Akasztó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Alacska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Alap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Alattyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Albánia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Albertirsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Alcsútdoboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Aldebrő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Algéria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Algyő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Alibánfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Almamellék,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Almásfüzitő,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Almásháza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Almáskamarás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Almáskeresztúr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Álmosd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Alsóberecki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
