date,total_count,count_positive,count_negative,count_todo
2020-10-07,1,0,0,1
2020-11-16,1,0,1,0
2020-12-04,5,0,5,0
2021-01-23,0,0,0,0
2021-04-20,0,0,0,0
2021-04-21,0,0,0,0
2021-04-22,0,0,0,0
2021-04-23,0,0,0,0
2022-03-12,1,0,1,0
2022-03-24,1,1,0,0
2022-06-14,1,0,1,0
2022-06-16,0,0,0,0
2022-06-17,5,0,5,0
2022-12-11,1,1,0,0
2022-12-30,1,1,0,0
2023-01-18,1,0,1,0
2023-03-10,1,0,1,0
2023-03-14,1,0,0,1
2023-04-27,30,0,30,0
2023-06-24,0,0,0,0
2023-06-27,0,0,0,0
2023-07-26,1,0,1,0
2023-09-19,0,0,0,0
2023-11-20,0,0,0,0
2023-11-24,0,0,0,0
2023-12-14,1,0,1,0
2024-01-03,0,0,0,0
2024-01-18,0,0,0,0
2024-02-09,0,0,0,0
2024-02-23,0,0,0,0
2024-03-23,0,0,0,0
2024-03-28,0,0,0,0
2024-03-29,2,0,2,0
2024-04-02,1,0,1,0
2024-04-03,1,0,1,0
2024-04-04,1,0,1,0
2024-04-05,0,0,0,0
2024-04-07,2,0,2,0
2024-04-08,2,0,2,0
2024-04-09,0,0,0,0
2024-04-10,0,0,0,0
2024-04-11,2,0,2,0
2024-04-12,1,0,1,0
2024-04-13,1,1,0,0
2024-04-15,1,0,1,0
2024-04-16,1,0,1,0
2024-04-17,1,0,1,0
2024-04-19,1,0,1,0
2024-04-22,3,0,3,0
2024-04-23,1,0,1,0
2024-04-24,0,0,0,0
2024-04-25,0,0,0,0
2024-04-26,84,1,38,45
2024-04-27,75,1,35,39
2024-04-28,76,2,39,35
2024-04-29,139,9,103,27
2024-04-30,146,12,108,26
2024-05-01,83,1,54,28
2024-05-02,124,9,76,39
2024-05-03,18,4,8,6
2024-05-04,57,2,37,18
2024-05-05,43,0,32,11
2024-05-06,110,2,96,12
2024-05-07,49,0,43,6
2024-05-08,18,2,14,2
2024-05-09,138,3,97,38
2024-05-10,115,10,93,12
2024-05-11,6,0,6,0
2024-05-12,19,1,15,3
2024-05-13,168,4,139,25
2024-05-14,159,4,125,30
2024-05-15,152,4,135,13
2024-05-16,146,2,118,26
2024-05-17,149,2,73,74
2024-05-18,55,1,20,34
2024-05-19,38,0,28,10
2024-05-20,43,1,42,0
2024-05-21,124,2,49,73
2024-05-22,168,0,49,119
2024-05-23,47,1,14,32
2024-05-24,145,2,38,105
2024-05-25,64,0,21,43
2024-05-26,61,1,21,39
2024-05-27,159,2,79,78
2024-05-28,170,4,108,58
2024-05-29,161,2,81,78
2024-05-30,166,4,134,28
2024-05-31,37,5,32,0
2024-06-01,41,5,36,0
2024-06-02,95,6,89,0
2024-06-03,169,9,160,0
2024-06-04,142,10,132,0
2024-06-05,165,15,150,0
2024-06-06,206,11,195,0
2024-06-07,139,8,131,0
2024-06-08,69,5,64,0
2024-06-09,88,4,84,0
2024-06-10,41,2,39,0
2024-06-11,142,3,139,0
2024-06-12,134,8,126,0
2024-06-13,137,2,134,1
2024-06-14,113,4,109,0
2024-06-15,47,1,46,0
2024-06-16,18,0,18,0
2024-06-17,147,12,135,0
2024-06-18,184,15,169,0
2024-06-19,160,14,146,0
2024-06-20,138,15,123,0
2024-06-21,95,6,89,0
2024-06-22,58,2,56,0
2024-06-23,63,3,60,0
2024-06-24,112,8,104,0
2024-06-25,171,12,159,0
2024-06-26,212,8,204,0
2024-06-27,178,5,173,0
2024-06-28,118,9,109,0
2024-06-29,53,2,51,0
2024-06-30,47,2,45,0
2024-07-01,119,9,110,0
2024-07-02,107,7,100,0
2024-07-03,164,5,159,0
2024-07-04,122,6,116,0
2024-07-05,134,9,125,0
2024-07-06,59,4,55,0
2024-07-07,44,0,44,0
2024-07-08,145,11,134,0
2024-07-09,163,9,154,0
2024-07-10,145,13,132,0
2024-07-11,124,10,114,0
2024-07-12,109,5,104,0
2024-07-13,46,3,43,0
2024-07-14,28,1,27,0
2024-07-15,141,4,137,0
2024-07-16,160,8,152,0
2024-07-17,172,10,162,0
2024-07-18,164,9,155,0
2024-07-19,137,9,128,0
2024-07-20,59,3,56,0
2024-07-21,32,5,27,0
2024-07-22,156,8,148,0
2024-07-23,135,7,128,0
2024-07-24,148,10,138,0
2024-07-25,199,11,188,0
2024-07-26,140,5,135,0
2024-07-27,54,2,52,0
2024-07-28,39,1,38,0
2024-07-29,95,4,91,0
2024-07-30,174,11,163,0
2024-07-31,186,12,174,0
2024-08-01,229,12,217,0
2024-08-02,174,11,163,0
2024-08-03,81,3,78,0
2024-08-04,56,2,54,0
2024-08-05,131,8,123,0
2024-08-06,138,8,130,0
2024-08-07,147,7,140,0
2024-08-08,122,9,113,0
2024-08-09,112,8,104,0
2024-08-10,50,4,45,1
2024-08-11,46,0,46,0
2024-08-12,99,7,92,0
2024-08-13,79,3,76,0
2024-08-14,106,8,96,2
2024-08-15,110,6,91,13
2024-08-16,88,3,33,52
2024-08-17,50,0,32,18
2024-08-18,28,0,28,0
2024-08-19,33,0,33,0
2024-08-20,36,0,29,7
2024-08-21,75,0,59,16
2024-08-22,110,3,7,100
2024-08-23,81,0,0,81
2024-08-24,47,0,0,47
2024-08-25,40,0,0,40
2024-08-26,46,0,0,46
2024-08-27,108,0,0,108
2024-08-28,134,0,0,134
2024-08-29,88,0,0,88
2024-08-30,68,0,0,68
2024-08-31,50,0,0,50
2024-09-01,32,0,0,32
2024-09-02,75,1,0,74
2024-09-03,54,0,0,54
2024-09-04,114,0,0,114
2024-09-05,124,0,0,124
2024-09-06,112,0,0,112
2024-09-07,42,0,0,42
2024-09-08,39,0,0,39
2024-09-09,89,0,0,89
2024-09-10,44,0,0,44
2024-09-11,5,0,0,5
2024-09-12,40,0,0,40
2024-09-13,103,0,0,103
2024-09-14,42,0,0,42
2024-09-15,28,0,0,28
2024-09-16,5,0,0,5
2024-09-17,5,0,0,5
2024-09-18,16,0,0,16
2024-09-19,34,1,0,33
2024-09-20,124,0,0,124
2024-09-21,61,0,0,61
2024-09-22,48,0,0,48
2024-09-23,106,0,0,106
2024-09-24,124,0,0,124
2024-09-25,149,0,0,149
2024-09-26,160,0,0,160
2024-09-27,140,2,0,138
2024-09-28,47,0,0,47
2024-09-29,2,0,0,2
2024-09-30,5,0,0,5
2024-10-01,11,0,0,11
2024-10-02,23,0,0,23
2024-10-03,136,0,0,136
2024-10-04,147,3,0,144
2024-10-05,86,0,0,86
2024-10-06,46,0,0,46
2024-10-07,166,3,0,163
2024-10-08,3,0,1,2
2024-10-09,5,0,0,5
2024-10-10,5,0,0,5
2024-10-11,5,0,0,5
2024-10-12,0,0,0,0
2024-10-13,1,0,0,1
2024-10-14,12,0,0,12
2024-10-15,6,0,0,6
2024-10-16,43,0,0,43
2024-10-17,66,0,0,66
2024-10-18,140,0,0,140
2024-10-19,97,0,0,97
2024-10-20,63,0,0,63
2024-10-21,5,0,0,5
2024-10-22,24,0,0,24
2024-10-23,33,0,0,33
2024-10-24,112,0,1,111
2024-10-25,138,0,0,138
2024-10-26,63,0,0,63
2024-10-27,34,0,0,34
2024-10-28,140,0,17,123
2024-10-29,142,0,0,142
2024-10-30,183,1,0,182
2024-10-31,49,0,0,49
2024-11-01,31,3,0,28
2024-11-02,13,0,0,13
2024-11-03,64,5,3,56
2024-11-04,129,0,0,129
2024-11-05,122,0,0,122
2024-11-06,115,0,0,115
2024-11-07,108,0,0,108
2024-11-08,126,0,0,126
2024-11-09,58,2,0,56
2024-11-10,60,0,0,60
2024-11-11,153,0,0,153
2024-11-12,171,0,0,171
2024-11-13,171,0,0,171
2024-11-14,159,0,0,159
2024-11-15,112,7,1,104
2024-11-16,55,0,0,55
2024-11-17,48,0,0,48
2024-11-18,123,0,0,123
2024-11-19,118,0,0,118
2024-11-20,133,0,0,133
2024-11-21,129,0,0,129
2024-11-22,126,0,0,126
2024-11-23,55,0,0,55
2024-11-24,38,0,0,38
2024-11-25,85,0,0,85
2024-11-26,59,0,0,59
2024-11-27,89,0,0,89
2024-11-28,85,0,0,85
2024-11-29,73,0,0,73
2024-11-30,2,0,0,2
2024-12-01,1,0,0,1
2024-12-02,5,0,0,5
2024-12-03,6,0,0,6
2024-12-04,5,0,0,5
2024-12-05,5,0,0,5
2024-12-06,6,0,0,6
2024-12-07,1,0,0,1
2024-12-08,2,0,0,2
2024-12-09,20,0,0,20
2024-12-10,23,0,0,23
2024-12-11,6,0,0,6
2024-12-12,4,0,0,4
2024-12-13,8,0,0,8
2024-12-14,2,0,0,2
2024-12-15,2,0,0,2
2024-12-16,8,0,0,8
2024-12-17,14,0,0,14
2024-12-18,75,0,0,75
2024-12-19,110,0,0,110
2024-12-20,93,0,0,93
2024-12-21,58,0,0,58
2024-12-22,45,0,0,45
2024-12-23,67,0,0,67
2024-12-24,27,0,0,27
2024-12-25,21,0,0,21
2024-12-26,22,0,0,22
2024-12-27,50,0,0,50
2024-12-28,38,0,0,38
2024-12-29,21,0,0,21
2024-12-30,48,0,0,48
2024-12-31,50,0,0,50
2025-01-01,31,0,0,31
2025-01-02,61,0,0,61
2025-01-03,66,0,0,66
2025-01-04,43,0,0,43
2025-01-05,20,0,0,20
2025-01-06,68,0,0,68
2025-01-07,149,0,0,149
2025-01-08,143,0,0,143
2025-01-09,114,0,0,114
2025-01-10,120,0,0,120
2025-01-11,43,0,0,43
2025-01-12,22,0,0,22
2025-01-13,77,0,0,77
2025-01-14,89,0,0,89
2025-01-15,105,0,0,105
2025-01-16,135,0,0,135
2025-01-17,128,0,0,128
2025-01-18,40,0,0,40
2025-01-19,26,0,0,26
2025-01-20,112,0,0,112
2025-01-21,154,0,0,154
2025-01-22,137,0,0,137
2025-01-23,112,0,0,112
2025-01-24,105,0,0,105
2025-01-25,55,0,0,55
2025-01-26,55,0,0,55
2025-01-27,94,0,0,94
2025-01-28,98,0,0,98
2025-01-29,156,0,0,156
2025-01-30,126,0,0,126
2025-01-31,118,0,0,118
2025-02-01,106,0,0,106
2025-02-02,48,0,0,48
2025-02-03,101,0,0,101
2025-02-04,113,0,0,113
2025-02-05,118,0,0,118
2025-02-06,126,0,0,126
