detected_ent,no_detections,no_db_keywords,number_of_missed_detections,alias1,alias2,alias3,alias4,alias5,alias6,címkézési szabály
Rendőrség,13,861,848,Budapesti Rendőr-főkapitányság (BRFK),Nemzeti Nyomozó Iroda,Készenléti Rendőrség,Országos Rendőr-főkapitányság (ORFK),Baranya Megyei Rendőr-főkapitányság,Győr-Moson-Sopron Megyei Rendőr-főkapitányság,... Megyei Rendőr-főkapitányság
Magyar Villamos Művek (MVM) Zrt.,27,552,525,Magyar Villamos Művek,Magyar Villamos Művek Zrt.,MVM,MVM Zrt.,,,zárójel
Magyar Nemzeti Vagyonkezelő (MNV) Zrt.,216,728,512,MNV Zrt.,Nemzeti Vagyonkezelő Zrt.,Magyar Nemzeti Vagyonkezelő,Nemzeti Vagyonkezelő,Magyar Nemzeti Vagyonkezelő Zrt.,Nemzeti Vagyonkezelő Zrt.,zárójel
Budapest Főváros V. kerület Önkormányzata,1,347,346,V. kerület Önkormányzat,V. kerületi önkormányzat,belvárosi önkormányzat,,,,önkormányzat bp
Budapest Főváros Önkormányzata,20,326,306,Fővárosi Önkormányzat,budapesti önkormányzat,Budapest Főváros Önkormányzata- Főpolgármesteri Hivatal,,,,
Duna Aszfalt Zrt.,32,305,273,,,,,,,
Budapest Airport (BA) Zrt.,25,222,197,Budapest Airport Zrt.,BA Zrt.,Budapest Airport,,,,
Fejér B.Á.L. Építő és Szolgáltató Zrt.,1,189,188,Fejér B.Á.L. Zrt.,Fejér BÁL Zrt.,Fejér-B.Á.L. Zrt,,,,
Közgép Zrt.,208,379,171,,,,,,,
Elios Innovatív Zrt.,108,279,171,Elios Zrt.,,,,,,
Sportminisztérium,1,161,160,Gyermek- Ifjúsági- és Sportminisztérium,,,,,,
TV2 (televízió),0,157,157,TV2,tv2 televízió,TV2 Média csoport Zrt.,,,,zárójel
Buda-Cash Brókerház Zrt.,23,170,147,Buda-Cash Zrt.,,,,,,hosszú cégnév
Mediaworks Hungary Zrt.,32,167,135,Mediaworks,Mediaworks Zrt.,,,,,hosszú cégnév
Quaestor Értékpapír Zrt.,65,192,127,,,,,,,
Malév Rt.,8,135,127,,,,,,,
Állami Privatizációs és Vagyonkezelő (ÁPV) Rt.,35,159,124,,,,,,,
BDPST Ingatlanforgalmazó és Beruházó Zrt.,21,140,119,BDPST Zrt.,,,,,,
King's City,21,140,119,,,,,,,
OTP Bank Nyrt.,21,137,116,,,,,,,
Budapest Főváros VII. kerület Önkormányzata (Erzsébetváros),0,115,115,,,,,,,önkormányzat bp
Market Építő Zrt.,118,231,113,Market Zrt.,Market Építő,,,,,
Fővárosi Közterület-fenntartó (FKF) Zrt.,30,136,106,,,,,,,
Nemzeti Infrastruktúra Fejlesztő (NIF) Zrt.,52,156,104,Nemzeti Infrastruktúra Fejlesztő Zrt.,Nemzeti Infrastruktúra Fejlesztő,NIF,NIF Zrt.,,,zárójel
Ökotárs,49,153,104,,,,,,,
Budapest Főváros XIV. kerület Önkormányzata (Zugló),0,99,99,,,,,,,önkormányzat bp
Valton-Sec Zrt.,21,118,97,,,,,,,
4iG Nyrt.,136,229,93,,,,,,,
Zsolnay Zrt.,7,100,93,Zsolnay Porcelánmanufaktúra,,,,,,
Magyar Posta Zrt.,92,184,92,,,,,,,
Debrecen Város Önkormányzata,0,91,91,Debrecen Önkormányzat,debreceni önkormányzat,,,,,önkormányzat város
Pécs Megyei Jogú Város Önkormányzata,1,91,90,Pécs Önkormányzata,pécsi önkormányzat,,,,,önkormányzat város
Gazdasági Minisztérium,26,111,85,,,,,,,
Magyar Telekom Nyrt.,22,106,84,,,,,,,
Bp2017 Világbajnokság Szervező és Lebonyolító Nonprofit Kft.,16,99,83,,,,,,,
Esztergom Város Önkormányzata,2,84,82,,,,,,,
Konzum Befektetési és Vagyonkezelő Nyrt.,40,121,81,Konzum Befektetési Alapkezelő Zrt.,,,,,,
ZÁÉV Zrt.,102,182,80,ZÁÉV Építőipari Zrt.,,,,,,
Takarékbank Zrt.,26,106,80,MTB Takerékbank,,,,,,
MNKH Magyar Nemzeti Kereskedőház Zrt.,16,93,77,MNKH Zrt.,Magyar Nemzeti Kereskedőház Zrt.,,,,,
Swietelsky Építő Kft.,16,93,77,Swietelsky Magyarország Kft.,,,,,,
MÁV Cargo Árufuvarozási Zrt.,1,78,77,,,,,,,
BAE Systems-SAAB,8,84,76,BAE Systems,,,,,,
Kun-Mediátor Szolgáltató Kft.,1,77,76,,,,,,,
Eclipse Informatikai Rt.,1,76,75,,,,,,,
Centrum Parkoló Rendszer Kft.,24,97,73,,,,,,,
West Hungária Bau (WHB) Építő Kft. ,215,286,71,WHB,West Hungária Bau,West Hungária Bau Építő Kft. ,,,,zárójel
Young & Partners Kft.,6,77,71,,,,,,,
MVM Paks II. Atomerőmű Fejlesztő Zrt.,15,85,70,MVM Paksi Atomerőmű Zrt.,Paks II. Zrt.,,,,,
Budapest Főváros I. kerület Önkormányzata (Budavár),0,70,70,,,,,,,önkormányzat bp
Altus Zrt.,60,129,69,,,,,,,
New Land Media Kft.,118,186,68,,,,,,,
Állami Autópálya Kezelő (ÁAK) Zrt.,6,73,67,,,,,,,
Mathias Corvinus Collegium Alapítvány,27,93,66,,,,,,,
Appeninn Holding Nyrt.,23,89,66,Appenin,Appeninn Nyrt.,Appeninn Vagyonkezelő Holding,,,,
Hunguest Hotels Zrt.,58,123,65,,,,,,,
Modern Media Group Befektetési és Vagyonkezelő (MMG) Zrt.,3,68,65,,,,,,,
NHB Növekedési Hitel Bank Zrt.,6,70,64,,,,,,,
Budapest Főváros VI. kerület Önkormányzata (Terézváros),0,61,61,,,,,,,önkormányzat bp
Opus Global Nyrt.,165,223,58,,,,,,,
HírTV Zrt.,8,66,58,,,,,,,
Budapest Főváros IX. kerület Önkormányzata (Ferencváros),0,58,58,,,,,,,önkormányzat bp
Paksi Atomerőmű Rt.,13,70,57,,,,,,,
Budapest Gyógyfürdői és Hévízei Zrt.,6,63,57,,,,,,,
FTC Labdarúgó Zrt.,32,88,56,,,,,,,
Humán Operátor Zrt.,29,85,56,,,,,,,
Mátrai Erőmű Zrt.,43,98,55,,,,,,,
Grupo Milton Zrt.,3,58,55,,,,,,,
Szárhegydűlő-Sárazsadány-Tokajhegyalja Kft.,2,57,55,,,,,,,
Norvég Alap,118,172,54,,,,,,,
